Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Previous Purchases,Payment Method,Frequency of Purchases
0.7115384615384616,1,2,1,0.4125000000000001,16,0,7,3,0.2400000000000002,1,1,1,0.26530612244897955,5,3
0.019230769230769273,1,23,1,0.55,18,0,12,3,0.2400000000000002,1,1,1,0.02040816326530612,1,3
0.6153846153846154,1,11,1,0.6625000000000001,20,2,12,1,0.2400000000000002,1,2,1,0.44897959183673464,2,6
0.05769230769230771,1,14,2,0.875,38,1,12,1,0.40000000000000013,1,3,1,0.9795918367346937,4,6
0.5192307692307693,1,2,1,0.36250000000000004,36,1,21,1,0.08000000000000007,1,2,1,0.6122448979591836,4,0
0.5384615384615385,1,20,2,0.0,49,1,23,2,0.15999999999999992,1,4,1,0.26530612244897955,5,6
0.8653846153846155,1,16,1,0.8125,25,1,7,0,0.28000000000000025,1,2,1,0.9795918367346937,1,5
0.17307692307692313,1,18,1,0.17500000000000004,17,0,4,3,0.28000000000000025,1,2,1,0.36734693877551017,2,6
0.15384615384615385,1,4,3,0.9625000000000001,47,0,19,2,0.040000000000000036,1,1,1,0.14285714285714285,5,0
0.7500000000000001,1,7,0,0.1375,24,1,16,1,0.9199999999999999,1,0,1,0.061224489795918366,1,5
0.6730769230769232,1,17,2,0.17500000000000004,3,0,17,0,0.6399999999999999,1,5,1,0.510204081632653,0,1
0.23076923076923084,1,18,1,0.6000000000000001,10,2,13,3,0.9600000000000002,1,5,1,0.18367346938775508,0,3
0.826923076923077,1,4,3,0.65,7,1,6,3,0.8,1,1,1,0.7346938775510203,5,3
0.9038461538461539,1,5,1,0.38750000000000007,28,1,22,1,0.8800000000000001,1,1,1,0.6122448979591836,4,6
0.8846153846153847,1,4,3,0.4125000000000001,31,0,20,3,0.8800000000000001,1,2,1,0.673469387755102,3,6
0.8846153846153847,1,19,1,0.7625,38,1,20,3,0.11999999999999988,1,5,1,0.14285714285714285,4,4
0.13461538461538464,1,22,0,0.2,0,2,7,1,0.6399999999999999,1,3,1,0.8775510204081631,3,1
0.6730769230769232,1,5,1,0.22500000000000003,23,3,10,3,0.8800000000000001,1,0,1,0.7142857142857142,5,5
0.6538461538461539,1,23,1,0.3500000000000001,25,2,1,2,0.8399999999999999,1,2,1,0.32653061224489793,1,6
0.9230769230769232,1,13,1,0.875,38,1,8,2,0.32000000000000006,1,4,1,0.9183673469387754,3,1
0.05769230769230771,1,13,1,0.38750000000000007,17,1,1,3,0.11999999999999988,1,1,1,1.0,1,2
0.25,1,13,1,0.525,32,1,4,3,0.6399999999999999,1,5,1,0.4285714285714285,3,5
